headline,category,publish_date,access_date,video,url
Olympus is getting out of the camera business,tech,2020-06-24,2020-06-27,False,/2020/06/24/tech/olympus-camera-trnd/index.html
CNN holds officials accountable. View our Facts First database,tech,-www.cnn.com-factsfirst,2020-06-27,False,https://www.cnn.com/factsfirst/politics?xid=ff_btn
Judge rules migrant children in government family detention centers must be released due to coronavirus,politics,2020-06-26,2020-06-27,False,/2020/06/26/politics/children-released-from-immigration-detention-centers/index.html
What is Trump's second-term agenda? He can't say,politics,2020-06-26,2020-06-27,False,/2020/06/26/politics/donald-trump-second-term/index.html
Trump's war against mail-in voting lacks GOP allies ,politics,2020-06-23,2020-06-27,False,/2020/06/23/politics/trump-war-mail-in-voting-lacks-republican-allies/index.html
James Mattis urges Americans to wear masks,politics,2020-06-24,2020-06-27,False,/2020/06/24/politics/mattis-coronavirus-psa/index.html
'They sent them literally into a death trap': Covid-19 in a veterans home,health,2020-06-26,2020-06-27,False,/2020/06/26/health/holyoke-soldiers-home-coronavirus-wellness/index.html
Homeschooling our kids about life,health,2020-06-26,2020-06-27,False,/2020/06/26/health/pandemic-life-lessons-go-ask-your-dad-wellness-parenting/index.html
Hating lockdown? A third of Brits have actually enjoyed it ,uk,2020-06-25,2020-06-27,False,/2020/06/25/uk/uk-coronavirus-lockdown-enjoy-scli-gbr-intl-wellness/index.html
NASA astronauts conduct Friday spacewalk ,us,2020-06-26,2020-06-27,False,/2020/06/26/us/nasa-june-spacewalk-cassidy-behnken-scn-trnd/index.html
Are you at risk for hepatitis C?,us,-healthguides.cnn.com-getting-the-right-treatment-for-hepatitis-c,2020-06-27,False,https://healthguides.cnn.com/getting-the-right-treatment-for-hepatitis-c/are-you-at-risk-for-hepatitis-c?did=t1_rss5
Read this before you head to your long-term vacation rental ,travel,travel-article-vacation-rental-houses-for-work-pandemic,2020-06-27,False,/travel/article/vacation-rental-houses-for-work-pandemic/index.html
Restrictions leave US travelers high and dry,travel,travel-article-us-citizens-international-travel-problems-covid-19,2020-06-27,False,/travel/article/us-citizens-international-travel-problems-covid-19/index.html
US to reopen Global Entry enrollment centers,travel,travel-article-us-reopens-global-entry,2020-06-27,False,/travel/article/us-reopens-global-entry/index.html
Padma Lakshmi says this ingredient makes American food great,travel,travel-article-padma-lakshmi-taste-the-nation-interview,2020-06-27,False,/travel/article/padma-lakshmi-taste-the-nation-interview/index.html
Carnival cruise ship named for demolition amid Covid-19 crisis,travel,travel-article-costa-victoria-carnival-retire-ships,2020-06-27,False,/travel/article/costa-victoria-carnival-retire-ships/index.html
We tested the best tablets of 2020,cnn-underscored,-www.cnn.com-2020,2020-06-27,False,https://www.cnn.com/2020/06/24/cnn-underscored/best-tablets/index.html?iid=CNNUnderscoredHP2.0
Amazon's first-ever Big Style Sale is happening now,cnn-underscored,-www.cnn.com-2020,2020-06-27,False,https://www.cnn.com/2020/06/22/cnn-underscored/amazon-big-style-sale-top-brands/index.html?iid=CNNUnderscoredHP2.0&iid_retailer=amazon
Tried & tested: the best women's razors,cnn-underscored,-www.cnn.com-2020,2020-06-27,False,https://www.cnn.com/2020/06/26/cnn-underscored/best-razors-for-women/index.html?iid=CNNUnderscoredHP2.0
"The top weekend sales: Wayfair, Amazon & more",cnn-underscored,-www.cnn.com-2020,2020-06-27,False,https://www.cnn.com/2020/06/26/cnn-underscored/weekend-sales-deals/index.html?iid=CNNUnderscoredHP2.0
Targeted Amex cards can get 40% off Amazon,cnn-underscored,-www.cnn.com-2020,2020-06-27,False,https://www.cnn.com/2020/04/03/cnn-underscored/american-express-amazon-discount-promotion/index.html?iid=CNNUnderscoredHP2.0
